variant_id,card_id,display_name,kind,status,is_primary,export_policy,tags,notes,created_at,updated_at
DEMO-001-V1,DEMO-001,Variant 1,mechanics_test,active,true,default,,,2026-06-04T18:35:22.852Z,2026-06-04T18:35:22.852Z
DEMO-002-V1,DEMO-002,Variant 1,mechanics_test,active,true,default,,Demo artifact template,,
DEMO-003-V1,DEMO-003,Variant 1,mechanics_test,active,true,default,,Demo land template,,
DEMO-004-V1,DEMO-004,Variant 1,mechanics_test,active,true,default,,Demo enchantment template,,
DEMO-005-V1,DEMO-005,Variant 1,mechanics_test,active,true,default,,Demo instant template,,
DEMO-006-V1,DEMO-006,Variant 1,mechanics_test,active,true,default,,Demo sorcery template,,
DEMO-007-V1,DEMO-007,Variant 1,mechanics_test,active,true,default,,Demo three ability planeswalker template,,
DEMO-008-V1,DEMO-008,Variant 1,mechanics_test,active,true,default,,Demo four ability planeswalker template,,
DEMO-T01-V1,DEMO-T01,Variant 1,mechanics_test,active,true,default,,Demo text token frame,,
DEMO-T02-V1,DEMO-T02,Variant 1,mechanics_test,active,true,default,,Demo full art token frame,,
DEMO-001-V2,DEMO-001,Counterplay Test,mechanics_test,testing,false,optional,playtest;attack-trigger;counterplay,Tests a narrower attack trigger that rewards one attacker instead of pumping the whole team.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-001-V3,DEMO-001,Wording Snapshot,wording_test,archived,false,excluded,wording-history;archived,Archived wording draft kept to demonstrate hidden-by-default history variants.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-001-V4,DEMO-001,Banner Art Alternate,visual_alternate,active,false,default,alt-art;showcase;export-default,Uses alternate demo art and default export policy so bulk export can include a non-primary visual variant.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-002-V2,DEMO-002,Treasure Engine Test,mechanics_test,testing,false,optional,artifact;mana;playtest,Tests a stronger relic that creates delayed Treasure value.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-002-V3,DEMO-002,Foil Promo,finish_alternate,final,false,optional,foil;promo;final,Same core artifact presented as a finalized finish alternate.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-002-V4,DEMO-002,Old Looting Draft,history_snapshot,archived,false,excluded,archive;looting;history,Older tap-loot version kept for lifecycle and archive filter testing.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-003-V2,DEMO-003,Untapped Tempo Test,mechanics_test,testing,false,optional,land;tempo;playtest,Tests an untapped condition for tempo-sensitive land balancing.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-003-V3,DEMO-003,Dawn Orchard Art,visual_alternate,active,false,default,alt-art;land;export-default,Uses a different placeholder art asset to demonstrate visual alternates on lands.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-003-V4,DEMO-003,Commander Print,print_alternate,final,false,optional,commander;print;final,Finalized print alternate with table-friendly wording.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-005-V2,DEMO-005,Impulse Wording Test,wording_test,testing,false,optional,instant;wording;playtest,Tests whether impulsive selection reads better than straight draw-discard.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-006-V2,DEMO-006,Token Count Test,mechanics_test,testing,false,optional,sorcery;tokens;playtest,Tests a higher token count with no haste for go-wide balance checks.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
DEMO-T02-V2,DEMO-T02,Text Token Print,print_alternate,final,false,optional,token;print;text-frame,Companion print-style token variant that swaps from full-art to text-frame layout.,2026-06-04T20:00:00.000Z,2026-06-04T20:00:00.000Z
